time,in_support_count,out_support_count,sensor_one_support_count,sensor_two_support_count,room_id,door_id,event_type
2024-04-08 11:29:07,0,5,145,131,1,0,0
2024-04-08 11:29:21,0,23,74,84,1,0,0
2024-04-08 11:30:26,0,80,60,119,1,0,0
2024-04-08 11:30:50,7,0,55,58,0,1,1
2024-04-08 11:32:05,39,0,201,178,1,0,1
2024-04-08 11:32:56,9,0,143,88,1,0,1
2024-04-08 11:37:13,15,0,43,39,1,0,1
2024-04-08 11:37:15,16,0,32,22,1,0,1
2024-04-08 11:41:16,0,27,33,45,1,0,0
2024-04-08 11:43:52,0,33,116,124,1,0,0
2024-04-08 11:44:16,11,0,74,73,0,0,1
2024-04-08 11:44:36,13,0,33,32,0,0,1
2024-04-08 11:49:47,15,0,48,51,1,0,1
2024-04-08 11:49:49,7,0,36,37,1,0,1
2024-04-08 11:49:50,15,0,53,48,1,0,1
2024-04-08 11:50:08,5,0,44,44,0,0,1
2024-04-08 11:50:09,15,0,44,52,0,0,1
2024-04-08 11:50:10,32,0,134,141,1,0,1
2024-04-08 11:50:10,11,0,30,28,0,0,1
2024-04-08 11:50:12,13,0,47,38,0,0,1
2024-04-08 11:50:13,20,0,40,42,0,0,1
2024-04-08 11:50:16,22,0,89,79,0,0,1
2024-04-08 11:50:44,10,0,39,36,0,0,1
2024-04-08 11:50:46,19,0,44,31,0,0,1
2024-04-08 11:50:58,20,0,59,65,0,0,1
2024-04-08 11:51:16,7,0,111,147,0,0,1
2024-04-08 11:51:40,0,22,70,74,0,0,0
2024-04-08 11:52:04,0,23,75,76,0,0,0
2024-04-08 11:52:25,16,0,50,46,0,0,1
2024-04-08 11:52:43,0,1,71,70,0,0,1
2024-04-08 11:52:45,10,0,85,80,1,0,1
2024-04-08 11:52:47,6,0,54,51,1,0,1
2024-04-08 11:52:53,0,10,43,36,1,0,0
2024-04-08 11:53:23,0,16,44,45,1,0,0
2024-04-08 11:53:36,19,0,45,38,1,0,1
2024-04-08 11:54:12,9,0,44,40,0,0,1
2024-04-08 11:54:16,28,0,54,69,0,0,1
2024-04-08 11:54:18,0,0,135,145,0,0,1
2024-04-08 11:54:30,12,0,25,25,0,0,1
2024-04-08 11:54:31,0,7,24,29,0,0,0
2024-04-08 11:54:34,7,0,155,197,0,0,1
2024-04-08 11:54:37,16,0,33,36,1,0,1
2024-04-08 11:54:49,13,0,61,60,0,0,1
2024-04-08 11:55:00,6,0,27,35,0,0,1
2024-04-08 11:55:21,12,1,56,107,1,0,1
2024-04-08 11:55:22,18,0,60,45,0,0,1
2024-04-08 11:55:41,20,0,72,70,1,0,1
2024-04-08 11:55:42,41,0,67,31,1,0,1
2024-04-08 11:55:47,7,0,33,35,0,0,1
2024-04-08 11:55:49,30,0,106,89,0,0,1
2024-04-08 11:55:51,20,0,101,93,0,0,1
2024-04-08 11:55:52,14,0,29,21,1,0,1
2024-04-08 11:55:53,44,0,60,50,0,0,1
2024-04-08 11:55:55,18,0,50,122,0,0,1
2024-04-08 11:56:02,3,0,40,48,0,0,1
2024-04-08 11:56:04,16,0,87,77,0,0,1
2024-04-08 11:56:08,46,0,152,172,0,0,1
2024-04-08 11:56:15,0,0,37,41,0,0,1
2024-04-08 11:56:32,7,0,38,37,1,0,1
2024-04-08 11:56:36,14,0,65,73,1,0,1
2024-04-08 11:56:37,16,0,123,144,0,0,1
2024-04-08 11:56:45,9,0,33,33,0,0,1
2024-04-08 11:56:46,3,0,63,67,0,0,1
2024-04-08 11:56:52,0,26,51,62,0,0,0
2024-04-08 11:57:04,10,0,49,43,0,0,1
2024-04-08 11:57:07,21,0,96,125,0,0,1
2024-04-08 11:57:09,17,0,55,42,1,0,1
2024-04-08 11:57:22,18,0,46,37,1,0,1
2024-04-08 11:57:35,5,0,28,30,0,0,1
2024-04-08 11:57:37,11,0,36,37,0,0,1
2024-04-08 11:58:18,0,59,76,122,0,0,0
2024-04-08 11:58:21,44,0,58,37,0,0,1
2024-04-08 11:58:22,17,0,32,24,1,0,1
2024-04-08 11:58:22,10,0,34,32,0,0,1
2024-04-08 11:58:24,15,0,67,23,1,0,1
2024-04-08 11:58:41,0,21,57,68,1,0,0
2024-04-08 11:58:42,9,0,77,76,0,0,1
2024-04-08 11:58:43,28,0,74,55,1,0,1
2024-04-08 11:58:47,15,0,56,47,0,0,1
2024-04-08 11:58:48,13,0,49,35,0,0,1
2024-04-08 11:58:50,8,0,50,47,0,0,1
2024-04-08 11:58:52,20,0,38,35,1,0,1
2024-04-08 11:58:55,27,0,45,44,0,0,1
2024-04-08 11:58:57,21,0,75,63,0,0,1
2024-04-08 11:59:15,0,24,31,41,1,0,0
2024-04-08 11:59:30,20,0,98,81,0,0,1
2024-04-08 11:59:32,8,0,62,63,0,0,1
2024-04-08 11:59:34,67,0,69,46,0,0,1
